Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Humidity,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_WVTR
1.923323631286621,0.0,90.91,8.45,1,2,34.74486541748047,2,8176.9384765625,13593.33984375,41.08588790893555,23.0,90.0,246.1619873046875,6.184085845947266,8.070058822631836,1,789.88
1.4720990657806396,0.0,90.91,8.45,1,2,38.39569091796875,2,6761.39111328125,9212.2265625,31.35833740234375,23.0,90.0,247.156005859375,6.19280481338501,8.06948471069336,1,404.351
1.454792618751526,0.0,90.91,8.45,1,2,38.183349609375,2,6921.7666015625,8952.681640625,31.36135482788086,23.0,90.0,246.79498291015625,6.188345909118652,8.070577621459961,1,375.309
2.124163627624512,0.0,90.91,8.45,1,2,38.73780059814453,2,6489.82421875,13671.1875,29.02581787109375,23.0,90.0,246.1752014160156,6.170493125915527,8.074470520019531,1,362.394
2.162855863571167,0.0,90.91,8.45,1,2,40.86238098144531,2,4800.408203125,13994.697265625,24.14228057861328,23.0,90.0,245.92808532714844,6.1627960205078125,8.078676223754883,1,280.537
2.081265449523926,0.0,90.91,8.45,1,2,41.576961517333984,2,4370.00439453125,13448.5302734375,25.1656551361084,23.0,90.0,246.26255798339844,6.179829120635986,8.07681655883789,1,213.346
3.5448784828186035,0.0,90.91,8.45,1,2,85.45648956298828,2,1760.97216796875,27548.15234375,51.09359359741211,25.0,90.0,256.305908203125,6.426301956176758,8.037752151489258,1,261.411
3.7769217491149902,0.0,90.91,8.45,1,2,57.298919677734375,2,4830.18359375,34600.9140625,22.06256675720215,30.0,90.0,252.21707153320312,6.327845573425293,8.046930313110352,1,448.133
3.4740915298461914,0.0,90.91,8.45,1,2,47.26203918457031,2,5439.7978515625,43069.44140625,17.08487319946289,35.0,90.0,248.436752319336,6.210084915161133,8.066787719726562,1,659.751
10.916881561279297,0.0,90.91,8.45,1,2,260.6123352050781,2,5675.4697265625,78091.8125,77.06597900390625,40.0,90.0,280.66802978515625,6.842861175537109,7.998815536499023,1,734.44
10.790781021118164,0.0,90.91,8.45,1,2,294.64129638671875,2,6560.5712890625,74056.21875,92.71793365478516,45.0,90.0,280.805419921875,6.838665962219238,7.999184131622314,1,834.025
16.286046981811523,0.0,90.91,8.45,1,2,336.8044128417969,3,6964.51513671875,89542.6796875,112.1033935546875,50.0,90.0,280.4369201660156,6.824831962585449,7.999763488769531,1,1244.813
