Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Air_Humidity_pct,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_TS_MPa
15.0,90.0,10.0,0.0,0.08100037276744843,2.749086380004883,100.0,2.570396900177002,3621.116943359375,81420.5546875,1.547492575,23.70151189,60.63615492,242.53196716308594,0.36,8.2,0.9794482588768005,28.65
30.0,2.5115151405334473,96.92443084716797,3.0,0.39497658610343933,2.944481372833252,64.44303894042969,2.4570508003234863,1555.338134765625,160725.671875,2.121224068,22.38311056,54.70753114,292.79266357421875,0.36,8.2,0.9852684140205383,34.54
45.0,4.6091718673706055,95.14484405517578,5.0,0.5311522483825684,2.9686331748962402,68.74031066894531,2.6297168731689453,1489.92138671875,212853.625,11.30947843,19.37304484,55.75147574,310.6259765625,0.36,8.2,0.9882789850234985,38.79
60.0,7.004554748535156,93.00182342529297,7.0,0.501255214214325,2.957278251647949,70.68925476074219,2.7119150161743164,1557.18896484375,263562.3125,13.45226681,17.52924578,53.93462773,301.3165283203125,0.36,8.2,0.9878745079040527,38.47
60.0,10.2947998046875,89.9016342163086,10.0,0.5658000707626343,2.9666740894317627,70.17698669433594,2.6850152015686035,1618.7139892578125,263697.625,13.45226681,17.52924578,53.93462773,293.8673095703125,0.36,8.2,0.9883333444595337,36.11
15.0,2.0,98.0,2.0752077102661133,1.178620457649231,2.782498359680176,10.0,2.1661558151245117,505.8844909667969,75192.515625,6.815955974,17.90109024,75.31930245,394.4395751953125,1.95,6.4,0.9979556202888489,54.57
30.0,4.0,96.0,3.8989572525024414,1.1349115371704102,2.66005802154541,10.0,2.2733068466186523,565.07177734375,133238.828125,29.26201909,16.50785336,70.97773792,394.66754150390625,1.95,6.4,0.9982486367225647,52.15
45.0,6.0,94.0,5.87828254699707,1.0911784172058105,2.9463672637939453,10.0,2.5959184169769287,548.1859130859375,187009.171875,68.98935605,13.56090486,70.54247583,392.61517333984375,1.95,6.4,0.9970231056213379,50.04
60.0,8.0,92.0,7.968817710876465,0.827609121799469,2.9884448051452637,10.0,2.794224262237549,1271.18408203125,263337.625,81.9600299,11.38114221,67.91693112,392.03277587890625,1.95,6.4,0.9966405034065247,49.55
60.0,10.0,90.0,9.962273597717285,0.832226574420929,2.99064302444458,10.0,2.844099760055542,1508.9906005859375,263349.6875,81.9600299,11.38114221,67.91693112,391.55047607421875,1.95,6.4,0.9966964721679688,45.51
60.0,100.0,0.0,1.9340596199035645,6.965081691741943,1.1786060333251953,10.0,2.90677547454834,1496.9931640625,238646.203125,81.9600299,11.38114221,67.91693112,373.5662841796875,1.95,6.4,0.9954807758331299,56.31
15.0,0.0,100.0,0.0,1.7374305725097656,2.229984760284424,230.0,2.100280523300171,1480.142333984375,64058.64453125,64.30341396,27.42119997,82.04462011,225.64443969726562,1.0,4.6,0.99800705909729,20.06
30.0,0.0,99.5,0.5,2.240852117538452,2.183725118637085,250.0,2.4762277603149414,1785.57421875,128467.1484375,179.9855137,27.24694375,83.1431673,204.77383422851562,1.0,4.6,0.9975873827934265,19.62
