Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Humidity,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_WVTR
NA,70,0,NA,0,1,11,1,NA,608000,NA,38,90,NA,NA,NA,NA,218.894
NA,70,0,NA,0,1,11,2,NA,608000,NA,38,90,NA,NA,NA,NA,361.774
NA,70,0,NA,0,1,11,2,NA,608000,NA,38,90,NA,NA,NA,NA,499.245
NA,70,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,623.333
NA,70,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,752.77
NA,70,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,852.67
0,80,0,NA,0,1,11,1,NA,608000,NA,38,90,NA,NA,NA,NA,447.134
40,80,0,NA,0,1,11,2,NA,608000,NA,38,90,NA,NA,NA,NA,577.07
80,80,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,689.172
120,80,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,783.439
160,80,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,872.611
0,70,0,NA,0,1,11,1,NA,608000,NA,38,90,NA,NA,NA,NA,220.382
40,70,0,NA,0,1,11,1,NA,608000,NA,38,90,NA,NA,NA,NA,347.771
80,70,0,NA,0,1,11,2,NA,608000,NA,38,90,NA,NA,NA,NA,515.924
120,70,0,NA,0,1,11,2,NA,608000,NA,38,90,NA,NA,NA,NA,620.382
160,70,0,NA,0,1,11,3,NA,608000,NA,38,90,NA,NA,NA,NA,765.605
NA,85,15,0,NA,NA,10,3,NA,NA,NA,38,90,NA,NA,NA,NA,28.75
NA,80,15,5,NA,NA,10,3,NA,NA,NA,38,90,NA,NA,NA,NA,27.5
NA,75,15,10,NA,NA,10,2,NA,NA,NA,38,90,NA,NA,NA,NA,26.91
NA,70,15,15,NA,NA,10,1,NA,NA,NA,38,90,NA,NA,NA,NA,25.08
NA,65,15,20,NA,NA,10,1,NA,NA,NA,38,90,NA,NA,NA,NA,27.64
NA,66.5,14.25,14.25,2,NA,10,3,NA,NA,NA,38,90,NA,NA,NA,NA,24.1
NA,63,13.5,13.5,2,NA,10,2,NA,NA,NA,38,90,NA,NA,NA,NA,23.12
NA,59.5,12.75,12.75,2,NA,10,1,NA,NA,NA,38,90,NA,NA,NA,NA,22.74
NA,56,12,12,2,NA,10,1,NA,NA,NA,38,90,NA,NA,NA,NA,19.49
NA,100,0,0,NA,NA,NA,1,NA,NA,NA,38,10,NA,NA,NA,NA,44.74
NA,90,0,9.9,1,NA,NA,2,NA,NA,NA,38,10,NA,NA,NA,NA,28.36
NA,80,0,9.8,1,NA,NA,2,NA,NA,NA,38,10,NA,NA,NA,NA,24.84
NA,70,0,9.7,1,NA,NA,3,NA,NA,NA,38,10,NA,NA,NA,NA,31.82
NA,60,0,9.6,1,NA,NA,3,NA,NA,NA,38,10,NA,NA,NA,NA,37.64
NA,50,0,9.5,1,NA,NA,3,NA,NA,NA,38,10,NA,NA,NA,NA,40.66
NA,0,100,NA,NA,NA,39.5,NA,NA,NA,NA,23,90,NA,NA,NA,NA,396
NA,10,90,NA,NA,NA,40,NA,NA,NA,NA,23,90,NA,NA,NA,NA,721
NA,30,70,NA,NA,NA,40.2,NA,NA,NA,NA,23,90,NA,NA,NA,NA,834
NA,5,95,NA,2,NA,10,NA,NA,NA,NA,23,90,NA,NA,NA,NA,1140
NA,5,95,NA,2,NA,10,NA,NA,NA,NA,23,90,NA,NA,NA,NA,1078
NA,5,95,NA,2,NA,10,NA,NA,NA,NA,23,90,NA,NA,NA,NA,868
NA,5,95,NA,2,NA,10,NA,NA,NA,NA,23,90,NA,NA,NA,NA,796
NA,5,95,NA,2,NA,10,NA,NA,NA,NA,23,90,NA,NA,NA,NA,642
NA,98,0,NA,0,NA,450,1,7085,NA,NA,38,90,NA,NA,NA,NA,33.05
NA,97,0,NA,0,NA,450,2,7085,NA,NA,38,90,NA,NA,NA,NA,28.4
NA,95,0,NA,0,NA,450,2,7085,NA,NA,38,90,NA,NA,NA,NA,26.52
NA,93,0,NA,0,NA,450,2,7085,NA,NA,38,90,NA,NA,NA,NA,23.54
NA,91,0,NA,0,NA,450,3,7085,NA,NA,38,90,NA,NA,NA,NA,28.35
NA,88,0,NA,0,NA,450,3,7085,NA,NA,38,90,NA,NA,NA,NA,30.35
NA,20,80,NA,NA,NA,80,3,1000,NA,NA,23,90,NA,NA,NA,NA,138.6
