Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Air_Humidity_pct,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_TS_MPa
60,NA,90,10,NA,2,4000,NA,1500,NA,13.68772518,25,52.47326188,NA,0.41,8.3,NA,54.6
90,NA,90,10,NA,2,4000,NA,1500,NA,16.42527021,25,51.94852926,NA,0.41,8.3,NA,54.6
120,NA,90,10,NA,2,4000,NA,1500,NA,17.79404273,25,53.52272712,NA,0.41,8.3,NA,54.6
0,NA,85,15,NA,2,4000,NA,1500,NA,0,25,60.33095928,NA,0.41,8.3,NA,56.3
30,NA,85,15,NA,2,4000,NA,1500,NA,1.621556934,25,53.26530115,NA,0.41,8.3,NA,56.3
60,NA,85,15,NA,2,4000,NA,1500,NA,13.68772518,25,52.47326188,NA,0.41,8.3,NA,56.3
90,NA,85,15,NA,2,4000,NA,1500,NA,16.42527021,25,51.94852926,NA,0.41,8.3,NA,56.3
120,NA,85,15,NA,2,4000,NA,1500,NA,17.79404273,25,53.52272712,NA,0.41,8.3,NA,56.3
1,NA,100,NA,1,2,100,2,100,NA,1.633836484,30,75.03638095,NA,1.95,8,NA,54
2,NA,100,NA,1,2,100,2,100,NA,3.267672968,30,76.55226744,NA,1.95,8,NA,54
3,NA,100,NA,1,2,100,2,100,NA,4.901509453,30,76.17329582,NA,1.95,8,NA,54
4,NA,100,NA,1,2,100,2,100,NA,6.535345937,30,78.21974257,NA,1.95,8,NA,54
5,NA,100,NA,1,2,100,2,100,NA,8.169182421,30,79.58404041,NA,1.95,8,NA,54
6,NA,100,NA,1,2,100,2,100,NA,9.803018905,30,76.62806176,NA,1.95,8,NA,54
7,NA,100,NA,1,2,100,2,100,NA,11.43685539,30,76.61214495,NA,1.95,8,NA,54
1,NA,93,NA,1,3,100,2,100,NA,1.633836484,30,75.03638095,NA,1.95,8,NA,46
2,NA,93,NA,1,3,100,2,100,NA,3.267672968,30,76.55226744,NA,1.95,8,NA,46
3,NA,93,NA,1,3,100,2,100,NA,4.901509453,30,76.17329582,NA,1.95,8,NA,46
4,NA,93,NA,1,3,100,2,100,NA,6.535345937,30,78.21974257,NA,1.95,8,NA,46
5,NA,93,NA,1,3,100,2,100,NA,8.169182421,30,79.58404041,NA,1.95,8,NA,46
6,NA,93,NA,1,3,100,2,100,NA,9.803018905,30,76.62806176,NA,1.95,8,NA,46
7,NA,93,NA,1,3,100,2,100,NA,11.43685539,30,76.61214495,NA,1.95,8,NA,46
1,NA,89,NA,1,3,100,3,100,NA,1.633836484,30,75.03638095,NA,1.95,8,NA,40.2
2,NA,89,NA,1,3,100,3,100,NA,3.267672968,30,76.55226744,NA,1.95,8,NA,40.2
3,NA,89,NA,1,3,100,3,100,NA,4.901509453,30,76.17329582,NA,1.95,8,NA,40.2
4,NA,89,NA,1,3,100,3,100,NA,6.535345937,30,78.21974257,NA,1.95,8,NA,40.2
5,NA,89,NA,1,3,100,3,100,NA,8.169182421,30,79.58404041,NA,1.95,8,NA,40.2
6,NA,89,NA,1,3,100,3,100,NA,9.803018905,30,76.62806176,NA,1.95,8,NA,40.2
7,NA,89,NA,1,3,100,3,100,NA,11.43685539,30,76.61214495,NA,1.95,8,NA,40.2
1,NA,85,NA,3,3,100,3,100,NA,1.633836484,30,75.03638095,NA,1.95,8,NA,34.8
2,NA,85,NA,3,3,100,3,100,NA,3.267672968,30,76.55226744,NA,1.95,8,NA,34.8
3,NA,85,NA,3,3,100,3,100,NA,4.901509453,30,76.17329582,NA,1.95,8,NA,34.8
4,NA,85,NA,3,3,100,3,100,NA,6.535345937,30,78.21974257,NA,1.95,8,NA,34.8
5,NA,85,NA,3,3,100,3,100,NA,8.169182421,30,79.58404041,NA,1.95,8,NA,34.8
6,NA,85,NA,3,3,100,3,100,NA,9.803018905,30,76.62806176,NA,1.95,8,NA,34.8
7,NA,85,NA,3,3,100,3,100,NA,11.43685539,30,76.61214495,NA,1.95,8,NA,34.8
1,NA,81,NA,3,3,100,3,100,NA,1.633836484,30,75.03638095,NA,1.95,8,NA,30.2
2,NA,81,NA,3,3,100,3,100,NA,3.267672968,30,76.55226744,NA,1.95,8,NA,30.2
3,NA,81,NA,3,3,100,3,100,NA,4.901509453,30,76.17329582,NA,1.95,8,NA,30.2
4,NA,81,NA,3,3,100,3,100,NA,6.535345937,30,78.21974257,NA,1.95,8,NA,30.2
5,NA,81,NA,3,3,100,3,100,NA,8.169182421,30,79.58404041,NA,1.95,8,NA,30.2
6,NA,81,NA,3,3,100,3,100,NA,9.803018905,30,76.62806176,NA,1.95,8,NA,30.2
7,NA,81,NA,3,3,100,3,100,NA,11.43685539,30,76.61214495,NA,1.95,8,NA,30.2
1,NA,77,NA,3,3,100,3,100,NA,1.633836484,30,75.03638095,NA,1.95,8,NA,26.9
