name,longitude,latitude,Soil_pH,soil_clay_pct,soil_silt_pct,soil_sand_pct,Soil_OC_gkg,Soil_TN_mgkg,soil_bulk_density,soil_coarse_frag_pct
马关县,104.26064326927192,22.952260960258972,5.5,27.1,40.4,32.6,43.2,384.0,109.0,207.0
思明区,118.12645871863316,24.4668493306978,6.1,26.8,39.2,34.0,36.0,279.0,125.0,144.0
麻栗坡县,104.89441886499024,23.22249034279409,5.7,31.6,40.5,28.0,33.7,332.0,116.0,166.0
阿克苏市,81.15766446163137,40.34632619155424,5.6,26.6,53.1,20.3,15.9,313.0,138.0,152.0
庐山市,115.97970598350646,29.41645678176204,5.9,27.6,47.9,24.6,27.4,183.0,123.0,126.0
西畴县,104.6793174744508,23.359723813200677,5.5,30.1,40.2,29.8,44.0,327.0,115.0,228.0
库车市,83.44838878953021,41.77484051272115,8.2,22.1,39.8,38.2,9.3,177.0,137.0,168.0
合山市,108.93282973800264,23.800468421310335,5.5,28.8,47.3,24.0,25.1,235.0,122.0,79.0
海沧区,117.97367204179712,24.53170918939338,6.0,23.9,39.3,36.8,34.8,257.0,127.0,144.0
高平市,112.92169207860483,35.80355319375887,7.8,20.7,45.6,33.7,19.8,185.0,130.0,121.0
砚山县,104.24482494433975,23.683994653211915,6.0,34.9,42.3,22.8,33.9,281.0,123.0,174.0
湖里区,118.13371887324524,24.5210337718152,6.3,28.3,34.7,36.9,35.9,293.0,125.0,129.0
瑞昌市,115.44783678865544,29.62670454711743,5.8,35.9,41.1,23.0,43.3,345.0,117.0,148.0
共青城市,115.8239391951846,29.25251398535904,6.0,28.9,48.3,22.8,23.7,149.0,126.0,107.0
康平县,123.26332858655998,42.75821930812427,8.7,16.8,26.0,57.3,32.8,156.0,129.0,90.0
桑植县,110.17601304347036,29.563863452806203,5.8,29.7,46.7,23.7,46.5,503.0,117.0,157.0
山海关区,119.73408265188402,40.01903113165537,7.3,13.3,36.4,50.5,20.0,170.0,130.0,165.0
慈利县,110.92171709855724,29.395547445999444,5.6,28.7,41.0,30.3,45.0,504.0,115.0,144.0
北戴河区,119.42004508692334,39.84455930085584,7.7,17.0,36.9,46.2,14.5,179.0,131.0,84.0
海港区,119.5810475167838,40.07413833045101,7.3,14.4,33.4,52.2,17.6,181.0,132.0,142.0
东安区,129.82815985430614,44.38316036862142,6.0,20.9,42.4,36.7,106.2,631.0,102.0,138.0
阳明区,129.86492072788087,44.64738361723937,6.3,26.0,40.9,33.2,76.4,715.0,105.0,136.0
爱民区,129.50753594722983,44.70607459026655,6.3,25.8,40.1,34.1,87.5,686.0,104.0,112.0
桐城市,116.9358002197086,30.984318289765906,5.8,31.9,47.1,21.1,16.9,261.0,125.0,128.0
西安区,129.5267304800704,44.48895893919355,6.5,28.9,45.7,25.5,74.8,598.0,102.0,131.0
潜山市,116.5405556789444,30.754939651140106,5.5,25.3,38.9,35.8,43.5,359.0,116.0,155.0
法库县,123.23304644930565,42.406111346495685,7.3,18.9,34.8,46.3,21.4,247.0,133.0,101.0
抚宁区,119.26454183518882,39.95914661939017,7.2,15.1,36.0,49.0,13.8,185.0,132.0,124.0
五莲县,119.2383909691524,35.737466917491,6.8,20.5,32.1,47.4,16.8,141.0,132.0,106.0
吉隆县,85.29700804454593,28.863312250622062,7.0,15.2,35.5,49.3,26.9,335.0,120.0,209.0
田家庵区,116.99651693868935,32.560707696341154,7.0,31.6,51.3,17.1,13.9,169.0,133.0,67.0
聂拉木县,86.05861262568806,28.596153859232924,7.1,21.8,30.7,47.6,34.2,352.0,115.0,215.0
谢家集区,116.91292852298504,32.51984456819052,7.0,28.8,49.3,21.9,16.6,177.0,132.0,64.0
萨嘎县,85.07479130935845,29.39862645779083,7.5,14.6,27.7,57.8,25.2,238.0,121.0,184.0
莒县,118.87517219801104,35.66669888435504,7.1,22.0,42.6,35.4,10.6,102.0,134.0,79.0
岗巴县,88.56371068144708,28.313037674132755,7.8,9.3,25.4,65.3,20.0,234.0,121.0,198.0
大通区,117.1145367698806,32.62907077301163,7.4,30.8,47.3,21.9,13.5,192.0,133.0,63.0
康马县,89.64615121939563,28.44026167402789,7.1,9.2,29.8,61.0,20.8,297.0,103.0,328.0
定结县,87.90490940158507,28.23414134514436,7.3,9.6,26.7,63.7,24.3,272.0,115.0,222.0
仲巴县,83.65422422664197,30.47471207632116,7.9,11.7,26.3,62.1,21.3,146.0,118.0,221.0
